Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create org,Chrome 114.0.0.0,,,2023-07-19 10:37:32,2023-07-19 10:40:06,2m - 34.568s,PASSED
,,,,,,,
Test Cases/NFTrace/Login,Chrome 114.0.0.0,,,2023-07-19 10:37:32,2023-07-19 10:37:40,8.166s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-19 10:37:32,2023-07-19 10:37:36,3.666s,PASSED
"navigateToUrl(""https://app.nfttrace.com/login"")",Chrome 114.0.0.0,,,2023-07-19 10:37:36,2023-07-19 10:37:37,1.569s,PASSED
"setText(findTestObject(""Object Repository/Page_NFTtrace - Login to Manage and Track Y_f5a9ba/input_Email_email""), ""superadmin@chaincodeconsulting.com"")",Chrome 114.0.0.0,,,2023-07-19 10:37:37,2023-07-19 10:37:39,1.493s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NFTtrace - Login to Manage and Track Y_f5a9ba/input_Password_password""), ""lt7kXPiIKwaT+RdC1Uoh9g=="")",Chrome 114.0.0.0,,,2023-07-19 10:37:39,2023-07-19 10:37:40,0.600s,PASSED
"click(findTestObject(""Object Repository/Page_NFTtrace - Login to Manage and Track Y_f5a9ba/button_Login""))",Chrome 114.0.0.0,,,2023-07-19 10:37:40,2023-07-19 10:37:40,0.488s,PASSED
,,,,,,,
Test Cases/NFTrace/Create organization,Chrome 114.0.0.0,,,2023-07-19 10:39:12,2023-07-19 10:40:06,53.962s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-19 10:39:12,2023-07-19 10:39:14,1.979s,PASSED
"navigateToUrl(""https://app.nfttrace.com/login"")",Chrome 114.0.0.0,,,2023-07-19 10:39:14,2023-07-19 10:39:15,0.692s,PASSED
"setText(findTestObject(""Object Repository/Page_NFTtrace - Login to Manage and Track Y_f5a9ba/input_Email_email""), ""superadmin@chaincodeconsulting.com"")",Chrome 114.0.0.0,,,2023-07-19 10:39:15,2023-07-19 10:39:16,1.024s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NFTtrace - Login to Manage and Track Y_f5a9ba/input_Password_password""), ""lt7kXPiIKwaT+RdC1Uoh9g=="")",Chrome 114.0.0.0,,,2023-07-19 10:39:16,2023-07-19 10:39:16,0.642s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NFTtrace - Login to Manage and Track Y_f5a9ba/input_Password_password""), Keys.chord(ENTER))",Chrome 114.0.0.0,,,2023-07-19 10:39:16,2023-07-19 10:39:17,0.407s,PASSED
"click(findTestObject(""Object Repository/Page_NFTtrace - Projects/a_Organizations""))",Chrome 114.0.0.0,,,2023-07-19 10:39:17,2023-07-19 10:39:18,1.526s,PASSED
"click(findTestObject(""Object Repository/Page_NFTtrace - Organizations/button_Create Organization""))",Chrome 114.0.0.0,,,2023-07-19 10:39:18,2023-07-19 10:39:19,0.953s,PASSED
"setText(findTestObject(""Object Repository/Page_NFTtrace - Organizations/input__organizationName""), ""Central Org"")",Chrome 114.0.0.0,,,2023-07-19 10:39:19,2023-07-19 10:39:20,0.968s,PASSED
"selectOptionByIndex(findTestObject(""Page_NFTtrace - Organizations/select_Select Organization typeEducationSup_d2b9eb""), ""1"", STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-19 10:39:20,2023-07-19 10:39:53,32.317s,PASSED
"setText(findTestObject(""Object Repository/Page_NFTtrace - Organizations/input__AddressLine""), ""4th cross, Jali Nagar"")",Chrome 114.0.0.0,,,2023-07-19 10:39:53,2023-07-19 10:39:54,1.024s,PASSED
"selectOptionByIndex(findTestObject(""Page_NFTtrace - Organizations/select_Select stateAndaman and Nicobar Isla_ee6d5b""), ""3"", STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-19 10:39:54,2023-07-19 10:39:55,1.211s,PASSED
"selectOptionByIndex(findTestObject(""Page_NFTtrace - Organizations/select_Select CityBagraBarka KanaBarki Sari_840c27""), ""1"", STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-19 10:39:55,2023-07-19 10:39:56,1.488s,PASSED
"setText(findTestObject(""Object Repository/Page_NFTtrace - Organizations/input__zipcode""), ""589655"")",Chrome 114.0.0.0,,,2023-07-19 10:39:56,2023-07-19 10:39:57,0.888s,PASSED
"setText(findTestObject(""Object Repository/Page_NFTtrace - Organizations/input__GSTIN""), ""22AAAAA0000A1Z9"")",Chrome 114.0.0.0,,,2023-07-19 10:39:57,2023-07-19 10:39:58,0.906s,PASSED
"uploadFile(findTestObject(""Page_NFTtrace - Organizations/input__file""), ""C:\Users\MD Rahil\Desktop\photo-1557426272-fc759fdf7a8d.jpg"")",Chrome 114.0.0.0,,,2023-07-19 10:39:58,2023-07-19 10:39:59,0.481s,PASSED
"click(findTestObject(""Object Repository/Page_NFTtrace - Organizations/button_Next""))",Chrome 114.0.0.0,,,2023-07-19 10:39:59,2023-07-19 10:39:59,0.386s,PASSED
"setText(findTestObject(""Object Repository/Page_NFTtrace - Organizations/input__firstName""), ""Drake"")",Chrome 114.0.0.0,,,2023-07-19 10:39:59,2023-07-19 10:40:01,2.163s,PASSED
"setText(findTestObject(""Object Repository/Page_NFTtrace - Organizations/input__lastName""), ""settle"")",Chrome 114.0.0.0,,,2023-07-19 10:40:01,2023-07-19 10:40:02,0.857s,PASSED
"setText(findTestObject(""Object Repository/Page_NFTtrace - Organizations/input__email""), ""md.rahil+drake@chaincodeconsulting.com"")",Chrome 114.0.0.0,,,2023-07-19 10:40:02,2023-07-19 10:40:03,0.972s,PASSED
"setText(findTestObject(""Object Repository/Page_NFTtrace - Organizations/input_Phone_mobile""), ""+91 54874-51841"")",Chrome 114.0.0.0,,,2023-07-19 10:40:03,2023-07-19 10:40:04,0.908s,PASSED
"click(findTestObject(""Object Repository/Page_NFTtrace - Organizations/input__form-check-input""))",Chrome 114.0.0.0,,,2023-07-19 10:40:04,2023-07-19 10:40:04,0.555s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NFTtrace - Organizations/input__password""), ""lt7kXPiIKwaT+RdC1Uoh9g=="")",Chrome 114.0.0.0,,,2023-07-19 10:40:04,2023-07-19 10:40:05,0.426s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NFTtrace - Organizations/input__confirmPassword""), ""lt7kXPiIKwaT+RdC1Uoh9g=="")",Chrome 114.0.0.0,,,2023-07-19 10:40:05,2023-07-19 10:40:06,0.677s,PASSED
"click(findTestObject(""Object Repository/Page_NFTtrace - Organizations/button_Submit""))",Chrome 114.0.0.0,,,2023-07-19 10:40:06,2023-07-19 10:40:06,0.491s,PASSED
