Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
create form,Chrome 114.0.0.0,,,2023-07-19 11:42:37,2023-07-19 11:43:02,25.240s,FAILED
,,,,,,,
Test Cases/NFTrace/Login,Chrome 114.0.0.0,,,2023-07-19 11:42:37,2023-07-19 11:42:43,6.487s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-19 11:42:37,2023-07-19 11:42:40,2.874s,PASSED
"navigateToUrl(""https://app.nfttrace.com/login"")",Chrome 114.0.0.0,,,2023-07-19 11:42:40,2023-07-19 11:42:41,1.055s,PASSED
"setText(findTestObject(""Object Repository/Page_NFTtrace - Login to Manage and Track Y_f5a9ba/input_Email_email""), ""superadmin@chaincodeconsulting.com"")",Chrome 114.0.0.0,,,2023-07-19 11:42:41,2023-07-19 11:42:42,1.262s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NFTtrace - Login to Manage and Track Y_f5a9ba/input_Password_password""), ""lt7kXPiIKwaT+RdC1Uoh9g=="")",Chrome 114.0.0.0,,,2023-07-19 11:42:42,2023-07-19 11:42:43,0.544s,PASSED
"click(findTestObject(""Object Repository/Page_NFTtrace - Login to Manage and Track Y_f5a9ba/button_Login""))",Chrome 114.0.0.0,,,2023-07-19 11:42:43,2023-07-19 11:42:43,0.452s,PASSED
,,,,,,,
Test Cases/NFTrace/Form Builder,Chrome 114.0.0.0,create form,,2023-07-19 11:43:02,2023-07-19 11:43:02,0.203s,FAILED
"click(findTestObject(""Page_NFTtrace - Form Builder/button_Create new form""))",Chrome 114.0.0.0,,,2023-07-19 11:43:02,2023-07-19 11:43:02,0.183s,FAILED
